Carat,Cut
0.23,Ideal
0.73,Ideal
0.33,Ideal
0.33,Ideal
0.33,Ideal
0.23,Ideal
0.23,Ideal
0.32,Ideal
0.75,Ideal
0.35,Ideal
0.38,Ideal
0.26,Ideal
0.28,Ideal
0.32,Ideal
0.38,Ideal
0.21,Premium
0.29,Premium
0.22,Premium
0.32,Premium
0.24,Premium
0.29,Premium
0.22,Premium
0.22,Premium
0.42,Premium
0.31,Premium
0.24,Premium
0.24,Premium
0.24,Premium
0.32,Premium
0.75,Premium
0.23,Good
0.31,Good
0.23,Good
0.23,Good
0.31,Good
0.26,Good
0.32,Good
0.31,Good
0.26,Good
0.64,Good
0.77,Good
0.73,Good
0.76,Good
0.71,Good
0.83,Good
0.22,Fair
0.86,Fair
0.96,Fair
0.69,Fair
0.68,Fair
0.91,Fair
0.91,Fair
0.84,Fair
0.78,Fair
0.21,Fair
0.36,Fair
0.33,Fair
0.95,Fair
0.76,Fair
0.84,Fair
